武汉电信IPTV,#genre#
CCTV-1HD,rtp://239.69.1.12:9712
CCTV-2HD(财经),rtp://239.69.1.102:10250
CCTV-3HD(综艺),rtp://239.69.1.122:10370
CCTV-4HD(中文国际),rtp://239.69.1.138:10466
CCTV-5HD(体育),rtp://239.69.1.123:10376
CCTV-5+HD,rtp://239.254.96.234:9484
CCTV-6HD(电影),rtp://239.69.1.124:10382
CCTV-7HD(国防军事),rtp://239.69.1.103:10256
CCTV-8HD(电视剧),rtp://239.69.1.125:10388
CCTV-9HD(记录),rtp://239.69.1.104:10262
CCTV-10HD(科教),rtp://239.69.1.105:10268
CCTV-11HD(戏曲）,rtp://239.69.1.154:10560
CCTV-12HD(社会与法),rtp://239.69.1.106:10274
CCTV-13HD(新闻),rtp://239.254.96.161:9040
CCTV-14HD(少儿),rtp://239.69.1.107:10280
CCTV-15HD(音乐),rtp://239.69.1.155:10566
CCTV-17HD(农业农村),rtp://239.69.1.152:10548
CCTV-16(奥林匹克)4K,rtp://239.69.1.13:9718
BestTV(4K)测试(1080p),rtp://239.69.1.24:9784
BestTV(4K),rtp://239.69.1.25:9790
BestTV(4K)测试(4K),rtp://239.69.1.26:9796
BestTV(4K)测试(4K),rtp://239.69.1.27:9802
BestTV(4K)测试(4K),rtp://239.69.1.28:9808
东方卫视HD,rtp://239.69.1.173:10674
江苏卫视HD,rtp://239.69.1.174:10680
重庆卫视HD,rtp://239.69.1.149:10530
贵州卫视HD,rtp://239.69.1.150:10536
海南卫视HD,rtp://239.69.1.151:10542
江西卫视HD,rtp://239.69.1.126:10394
天津卫视HD,rtp://239.69.1.68:10048
山东卫视HD,rtp://239.69.1.69:10054
安徽卫视HD,rtp://239.69.1.70:10060
辽宁卫视HD,rtp://239.69.1.71:10066
东南卫视HD,rtp://239.69.1.108:10286
金鹰纪实HD,rtp://239.69.1.109:10292
CETV-1HD,rtp://239.69.1.110:10298
河北卫视HD,rtp://239.69.1.157:10578
河南卫视HD,rtp://239.69.1.168:10644
四川卫视HD,rtp://239.69.1.169:10650
河北卫视HD,rtp://239.254.96.113:9616
湖北卫视HD,rtp://239.254.96.115:8664
深圳卫视HD,rtp://239.254.96.137:8896
黑龙江卫视HD,rtp://239.254.96.138:8902
湖南卫视HD,rtp://239.254.96.139:8908
广东卫视HD,rtp://239.254.96.140:8914
北京卫视HD,rtp://239.254.96.141:8920
东方卫视HD,rtp://239.254.96.142:8926
浙江卫视HD,rtp://239.254.96.143:8932
江苏卫视HD,rtp://239.254.96.144:8938
CHC-高清电影HD,rtp://239.69.1.241:11088
CHC-动作电影HD,rtp://239.69.1.242:11094
CHC-家庭电影HD,rtp://239.69.1.243:11100
湖北卫视,rtp://239.254.96.1:7980
东方卫视,rtp://239.254.96.2:7986
CCTV-1,rtp://239.254.96.3:7992
CGTN,rtp://239.254.96.7:8016
CCTV-11(戏剧),rtp://239.254.96.9:8028
CCTV-13(新闻),rtp://239.254.96.11:8040
CCTV-15(音乐),rtp://239.254.96.13:8052
湖南卫视,rtp://239.254.96.15:8064
北京卫视,rtp://239.254.96.16:8070
江苏卫视,rtp://239.254.96.17:8076
浙江卫视,rtp://239.254.96.18:8082
辽宁卫视,rtp://239.254.96.19:8088
安徽卫视,rtp://239.254.96.20:8094
山东卫视,rtp://239.254.96.21:8100
广东卫视,rtp://239.254.96.22:8106
广西卫视,rtp://239.254.96.23:8112
海南卫视,rtp://239.254.96.24:8118
重庆卫视,rtp://239.254.96.25:8124
东南卫视,rtp://239.254.96.26:8130
江西卫视,rtp://239.254.96.27:8136
河南卫视,rtp://239.254.96.28:8142
天津卫视,rtp://239.254.96.29:8148
云南卫视,rtp://239.254.96.30:8154
贵州卫视,rtp://239.254.96.31:8160
深圳卫视,rtp://239.254.96.34:8178
西藏卫视,rtp://239.254.96.35:8184
